ANDES-A,Order,Family,Genus,Species,,Latitude1,Longitude1,State,,
885,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1241030000,-69.9412860000,Amazonas,,
1728,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1194900000,-69.9510400000,Amazonas,,
659,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1194444000,-69.9500000000,Amazonas,,
1960,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667000,-69.9500000000,Amazonas,,
1471,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667000,-69.9500000000,Amazonas,,
1961,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667000,-69.9500000000,Amazonas,,
2330,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,1.4900000000,-75.4100000000,Caquetá,,
2331,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,1.4900000000,-75.4100000000,Caquetá,,
2425,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.8475830000,-73.2710480000,Boyacá,,
1073,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.7727600000,-73.0384100000,Casanare,,
1247,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.7727600000,-73.0384100000,Casanare,,
4266,Anura,Aromobatidae,Allobates,myersi,Allobates myersi,1.1611700000,-70.2039400000,Vaupés,,
4267,Anura,Aromobatidae,Allobates,myersi,Allobates myersi,1.1611700000,-70.2039400000,Vaupés,,
1730,Anura,Aromobatidae,Allobates,niputidea,Allobates niputidea,7.3962000000,-73.4955000000,Santander,,
1731,Anura,Aromobatidae,Allobates,niputidea,Allobates niputidea,7.3962000000,-73.4955000000,Santander,,
2328,Anura,Aromobatidae,Allobates,picachos,Allobates picachos,1.4900000000,-75.4100000000,Caquetá,,
3928,Anura,Aromobatidae,Allobates,ranoides,Allobates ranoides,4.8480000000,-73.2872000000,Boyacá,,
2449,Anura,Aromobatidae,Allobates,talamancae,Allobates talamancae,5.3306790000,-76.6297540000,Chocó,,
2448,Anura,Aromobatidae,Allobates,talamancae,Allobates talamancae,5.3307970000,-76.6298680000,Chocó,,
2450,Anura,Aromobatidae,Allobates,talamancae,Allobates talamancae,5.3308150000,-76.6301370000,Chocó,,
1351,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,-4.1360002000,-69.9240036000,Amazonas,,
2334,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1000000000,-75.5600000000,Caquetá,,
2329,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.4900000000,-75.4100000000,Caquetá,,
2586,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,2.1615600000,-68.1555100000,Guainía,,
2545,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1152700000,-70.1652800000,Vaupés,,
2546,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1152700000,-70.1652800000,Vaupés,,
2543,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1979999000,-70.2809982000,Vaupés,x,
3857,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944000,-72.6277778000,Norte de Santander,,
3858,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944000,-72.6277778000,Norte de Santander,,
3859,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944000,-72.6277778000,Norte de Santander,,
5018,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.4015300000,-72.4937600000,Casanare,,
5019,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.4015300000,-72.4937600000,Casanare,,
5041,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.4611900000,-72.4823000000,Casanare,,
5042,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.4611900000,-72.4823000000,Casanare,,
5043,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.4611900000,-72.4823000000,Casanare,,
5038,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.4612300000,-72.4831800000,Casanare,,
2757,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2758,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2759,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2760,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2761,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2762,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2763,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2764,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2765,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2766,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2767,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2768,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2769,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2872,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2873,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2874,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2875,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2876,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2877,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2878,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2879,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2880,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2881,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2882,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2883,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2884,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
