ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
885,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.124103,-69.941286,Amazonas,Amazonas,True
1728,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.11949,-69.95104,Amazonas,Amazonas,True
659,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1194444,-69.95,Amazonas,Amazonas,True
1960,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667,-69.95,Amazonas,Amazonas,True
1471,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667,-69.95,Amazonas,Amazonas,True
1961,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667,-69.95,Amazonas,Amazonas,True
2330,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,1.49,-75.41,Caquetá,Caquetá,True
2331,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,1.49,-75.41,Caquetá,Caquetá,True
2425,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.847583,-73.271048,Boyacá,Boyacá,True
1073,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.77276,-73.03841,Casanare,Casanare,True
1247,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.77276,-73.03841,Casanare,Casanare,True
4266,Anura,Aromobatidae,Allobates,myersi,Allobates myersi,1.16117,-70.20394,Vaupés,Vaupés,True
4267,Anura,Aromobatidae,Allobates,myersi,Allobates myersi,1.16117,-70.20394,Vaupés,Vaupés,True
1730,Anura,Aromobatidae,Allobates,niputidea,Allobates niputidea,7.3962,-73.4955,Santander,Santander,True
1731,Anura,Aromobatidae,Allobates,niputidea,Allobates niputidea,7.3962,-73.4955,Santander,Santander,True
2328,Anura,Aromobatidae,Allobates,picachos,Allobates picachos,1.49,-75.41,Caquetá,Caquetá,True
3928,Anura,Aromobatidae,Allobates,ranoides,Allobates ranoides,4.848,-73.2872,Boyacá,Boyacá,True
2449,Anura,Aromobatidae,Allobates,talamancae,Allobates talamancae,5.330679,-76.629754,Chocó,Chocó,True
2448,Anura,Aromobatidae,Allobates,talamancae,Allobates talamancae,5.330797,-76.629868,Chocó,Chocó,True
2450,Anura,Aromobatidae,Allobates,talamancae,Allobates talamancae,5.330815,-76.630137,Chocó,Chocó,True
1351,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,-4.1360002,-69.9240036,Amazonas,Amazonas,True
2334,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1,-75.56,Caquetá,Caquetá,True
2329,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.49,-75.41,Caquetá,Caquetá,True
2586,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,2.16156,-68.15551,Guainía,Guainía,True
2545,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.11527,-70.16528,Vaupés,Vaupés,True
2546,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.11527,-70.16528,Vaupés,Vaupés,True
2543,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1979999,-70.2809982,Vaupés,Vaupés,True
3857,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944,-72.6277778,Norte de Santander,Norte de Santander,True
3858,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944,-72.6277778,Norte de Santander,Norte de Santander,True
3859,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944,-72.6277778,Norte de Santander,Norte de Santander,True
5018,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.40153,-72.49376,Casanare,Casanare,True
5019,Anura,Aromobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.40153,-72.49376,Casanare,Casanare,True
