,ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct,Wikipedia,Photo,Common_name,Phylum
0,885,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.124103,-69.941286,Amazonas,Amazonas,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
1,1728,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.11949,-69.95104,Amazonas,Amazonas,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
2,659,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1194444,-69.95,Amazonas,Amazonas,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
3,1960,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667,-69.95,Amazonas,Amazonas,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
4,1471,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667,-69.95,Amazonas,Amazonas,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
5,1961,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,-4.1166667,-69.95,Amazonas,Amazonas,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
6,2330,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,1.49,-75.41,Caquetá,Caquetá,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
7,2331,Anura,Aromobatidae,Allobates,femoralis,Allobates femoralis,1.49,-75.41,Caquetá,Caquetá,True,http://en.wikipedia.org/wiki/Allobates_femoralis,https://static.inaturalist.org/photos/21286274/medium.jpeg,Rana saltarina de muslos brillantes,Chordata
8,2425,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.847583,-73.271048,Boyacá,Boyacá,True,http://en.wikipedia.org/wiki/Allobates_juanii,https://static.inaturalist.org/photos/274128/medium.JPG,,Chordata
9,1073,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.77276,-73.03841,Casanare,Casanare,True,http://en.wikipedia.org/wiki/Allobates_juanii,https://static.inaturalist.org/photos/274128/medium.JPG,,Chordata
10,1247,Anura,Aromobatidae,Allobates,juanii,Allobates juanii,4.77276,-73.03841,Casanare,Casanare,True,http://en.wikipedia.org/wiki/Allobates_juanii,https://static.inaturalist.org/photos/274128/medium.JPG,,Chordata
11,4266,Anura,Aromobatidae,Allobates,myersi,Allobates myersi,1.16117,-70.20394,Vaupés,Vaupés,True,http://en.wikipedia.org/wiki/Allobates_myersi,https://static.inaturalist.org/photos/179649429/medium.jpeg,,Chordata
12,4267,Anura,Aromobatidae,Allobates,myersi,Allobates myersi,1.16117,-70.20394,Vaupés,Vaupés,True,http://en.wikipedia.org/wiki/Allobates_myersi,https://static.inaturalist.org/photos/179649429/medium.jpeg,,Chordata
