ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
3627,Anura,Bufonidae,Rhinella,acuminata,Rhinella acuminata,4.701572,-73.27782,Boyacá,Cundinamarca,False
4975,Anura,Bufonidae,Rhinella,beebei,Rhinella beebei,5.553593,-72.325166,Casanare,Boyacá,False
4643,Anura,Bufonidae,Rhinella,beebei,Rhinella beebei,5.89863,71.13598,Casanare,"[{'address_components': [{'long_name': '6JQHV4XP+F9', 'short_name': '6JQHV4XP+F9', 'types': ['plus_code']}], 'formatted_address': '6JQHV4XP+F9', 'geometry': {'bounds': {'northeast': {'lat': 5.89875, 'lng': 71.136}, 'southwest': {'lat': 5.898625, 'lng': 71.135875}}, 'location': {'lat': 5.89863, 'lng': 71.13598}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 5.900036480291502, 'lng': 71.13728648029151}, 'southwest': {'lat': 5.897338519708498, 'lng': 71.1345885197085}}}, 'place_id': 'GhIJY9F0djKYF0ARPzp15bPIUUA', 'plus_code': {'global_code': '6JQHV4XP+F9'}, 'types': ['plus_code']}]",False
4648,Anura,Bufonidae,Rhinella,beebei,Rhinella beebei,5.89863,71.13598,Casanare,"[{'address_components': [{'long_name': '6JQHV4XP+F9', 'short_name': '6JQHV4XP+F9', 'types': ['plus_code']}], 'formatted_address': '6JQHV4XP+F9', 'geometry': {'bounds': {'northeast': {'lat': 5.89875, 'lng': 71.136}, 'southwest': {'lat': 5.898625, 'lng': 71.135875}}, 'location': {'lat': 5.89863, 'lng': 71.13598}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 5.900036480291502, 'lng': 71.13728648029151}, 'southwest': {'lat': 5.897338519708498, 'lng': 71.1345885197085}}}, 'place_id': 'GhIJY9F0djKYF0ARPzp15bPIUUA', 'plus_code': {'global_code': '6JQHV4XP+F9'}, 'types': ['plus_code']}]",False
4654,Anura,Bufonidae,Rhinella,beebei,Rhinella beebei,5.89863,71.13598,Casanare,"[{'address_components': [{'long_name': '6JQHV4XP+F9', 'short_name': '6JQHV4XP+F9', 'types': ['plus_code']}], 'formatted_address': '6JQHV4XP+F9', 'geometry': {'bounds': {'northeast': {'lat': 5.89875, 'lng': 71.136}, 'southwest': {'lat': 5.898625, 'lng': 71.135875}}, 'location': {'lat': 5.89863, 'lng': 71.13598}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 5.900036480291502, 'lng': 71.13728648029151}, 'southwest': {'lat': 5.897338519708498, 'lng': 71.1345885197085}}}, 'place_id': 'GhIJY9F0djKYF0ARPzp15bPIUUA', 'plus_code': {'global_code': '6JQHV4XP+F9'}, 'types': ['plus_code']}]",False
3521,Anura,Bufonidae,Rhinella,horribilis,Rhinella horribilis,4.73978,-73.86868,Tolima,Cundinamarca,False
1390,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,6.98,-7.93,,"[{'address_components': [{'long_name': 'X3J9+2X', 'short_name': 'X3J9+2X', 'types': ['plus_code']}, {'long_name': 'Babli', 'short_name': 'Babli', 'types': ['locality', 'political']}, {'long_name': 'Guémon', 'short_name': 'Guémon', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'District des Montagnes', 'short_name': 'District des Montagnes', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Costa de Marfil', 'short_name': 'CI', 'types': ['country', 'political']}], 'formatted_address': 'X3J9+2X Babli, Costa de Marfil', 'geometry': {'bounds': {'northeast': {'lat': 6.980124999999999, 'lng': -7.93}, 'southwest': {'lat': 6.98, 'lng': -7.930124999999999}}, 'location': {'lat': 6.98, 'lng': -7.93}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 6.981411480291502, 'lng': -7.928713519708497}, 'southwest': {'lat': 6.978713519708498, 'lng': -7.931411480291501}}}, 'place_id': 'GhIJ61G4HoXrG0ARuB6F61G4H8A', 'plus_code': {'compound_code': 'X3J9+2X Babli, Costa de Marfil', 'global_code': '6CRJX3J9+2X'}, 'types': ['plus_code']}, {'address_components': [{'long_name': 'Man', 'short_name': 'Man', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Montagnes District', 'short_name': 'Montagnes District', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Costa de Marfil', 'short_name': 'CI', 'types': ['country', 'political']}], 'formatted_address': 'Man, Costa de Marfil', 'geometry': {'bounds': {'northeast': {'lat': 7.706908899999999, 'lng': -6.970825199999999}, 'southwest': {'lat': 6.8487142, 'lng': -7.998046899999999}}, 'location': {'lat': 7.2890304, 'lng': -7.524724300000001}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.706908899999999, 'lng': -6.970825199999999}, 'southwest': {'lat': 6.8487142, 'lng': -7.998046899999999}}}, 'place_id': 'ChIJncZxPjULsA8RLRJwAVlDOMw', 'types': ['administrative_area_level_3', 'political']}, {'address_components': [{'long_name': 'Guémon', 'short_name': 'Guémon', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Montagnes District', 'short_name': 'Montagnes District', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Costa de Marfil', 'short_name': 'CI', 'types': ['country', 'political']}], 'formatted_address': 'Guémon, Costa de Marfil', 'geometry': {'bounds': {'northeast': {'lat': 7.7257545, 'lng': -6.9730728}, 'southwest': {'lat': 6.3316877, 'lng': -7.993115499999999}}, 'location': {'lat': 6.8658797, 'lng': -7.265285799999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.7257545, 'lng': -6.9730728}, 'southwest': {'lat': 6.3316877, 'lng': -7.993115499999999}}}, 'place_id': 'ChIJhWqmCekQuw8RO8EzIsHBuDI', 'types': ['administrative_area_level_2', 'political']}, {'address_components': [{'long_name': '18 montañas', 'short_name': '18 montañas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Costa de Marfil', 'short_name': 'CI', 'types': ['country', 'political']}], 'formatted_address': '18 montañas, Costa de Marfil', 'geometry': {'bounds': {'northeast': {'lat': 8.154556699999999, 'lng': -6.9730728}, 'southwest': {'lat': 5.6179353, 'lng': -8.6020589}}, 'location': {'lat': 7.376237300000001, 'lng': -7.4381355}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 8.154556699999999, 'lng': -6.9730728}, 'southwest': {'lat': 5.6179353, 'lng': -8.6020589}}}, 'place_id': 'ChIJR6bqhQj4rw8RKKLmMg4QI68', 'types': ['administrative_area_level_1', 'political']}, {'address_components': [{'long_name': 'Costa de Marfil', 'short_name': 'CI', 'types': ['country', 'political']}], 'formatted_address': 'Costa de Marfil', 'geometry': {'bounds': {'northeast': {'lat': 10.7400149, 'lng': -2.493031}, 'southwest': {'lat': 4.193, 'lng': -8.6020589}}, 'location': {'lat': 7.539988999999999, 'lng': -5.547079999999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 10.7400149, 'lng': -2.493031}, 'southwest': {'lat': 4.193, 'lng': -8.6020589}}}, 'place_id': 'ChIJZ6BJsIcTlg8RQO65fGIe-QE', 'types': ['country', 'political']}]",False
3226,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,6.7344,-74.21429,Santander,Antioquia,False
4604,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.60064,-74.06604,Tolima,Cundinamarca,False
4608,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.60064,-74.06604,Tolima,Cundinamarca,False
4610,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.60064,-74.06604,Tolima,Cundinamarca,False
3548,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.73978,-73.86868,Tolima,Cundinamarca,False
3549,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.73978,-73.86868,Tolima,Cundinamarca,False
3550,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.73978,-73.86868,Tolima,Cundinamarca,False
3590,Anura,Bufonidae,Rhinella,humboldti,Rhinella humboldti,4.73978,-73.86868,Tolima,Cundinamarca,False
4972,Anura,Bufonidae,Rhinella,margaritifera,Rhinella margaritifera,5.572452,-72.317428,Casanare,Boyacá,False
2573,Anura,Bufonidae,Rhinella,margaritifera,Rhinella margaritifera,2.05,-67.06253,Guainía,Amazonas,False
2574,Anura,Bufonidae,Rhinella,margaritifera,Rhinella margaritifera,2.05,-67.06253,Guainía,Amazonas,False
2575,Anura,Bufonidae,Rhinella,margaritifera,Rhinella margaritifera,2.05,-67.06253,Guainía,Amazonas,False
4439,Anura,Bufonidae,Rhinella,margaritifera,Rhinella margaritifera,5.00654,-74.090914,Tolima,Cundinamarca,False
4662,Anura,Bufonidae,Rhinella,marina,Rhinella marina,4.33242,-75.42515,Cundinamarca,Tolima,False
3519,Anura,Bufonidae,Rhinella,marina,Rhinella marina,4.73978,-73.86868,Tolima,Cundinamarca,False
3520,Anura,Bufonidae,Rhinella,marina,Rhinella marina,4.73978,-73.86868,Tolima,Cundinamarca,False
3529,Anura,Bufonidae,Rhinella,marina,Rhinella marina,4.73978,-73.86868,Tolima,Cundinamarca,False
3589,Anura,Bufonidae,Rhinella,marina,Rhinella marina,4.73978,-73.86868,Tolima,Cundinamarca,False
3530,Anura,Bufonidae,Rhinella,marina,Rhinella marina,4.73978,-73.86868,Tolima,Cundinamarca,False
